Define Information Technology (IT).,"Information Technology (IT) is the use of computers to make humans more productive by allowing them to create, store, process and retrieve information. It encompasses hardware, software, networks and services that enable these functions.",FIT152 - Topic 1
Explain how Information Technology (IT) enhances human productivity in everyday life.,- It automates routine tasks such as spreadsheets for budgets - It provides instant access to information through email and search engines - It enables collaboration via cloud document sharing - It supports creativity with digital design tools,FIT152 - Topic 1
Compare and contrast Information Technology (IT) and Computer Science (CS).,"- information Technology (It) focuses on applying and managing computing technologies to solve practical problems such as installing networks and configuring systems - Computer Science (CS) focuses on the theory and design of algorithms, data structures and software, for example writing new programming languages and researching artificial intelligence",FIT152 - Topic 1
Define Computer Science (CS).,"Computer Science (CS) is the study of algorithms, data structures, programming languages, artificial intelligence and machine learning, as well as the theoretical foundations of computing hardware and software.",FIT152 - Topic 1
Define Software Engineering (SE).,"Software Engineering (SE) is the disciplined, engineering-based approach to designing, developing, testing and maintaining software applications using principles of engineering, best-practice design and programming languages to build reliable, scalable software for end users.",FIT152 - Topic 1
Compare Computer Science (CS) versus Software Engineering (SE).,"- Computer Science (CS) emphasizes theoretical foundations such as algorithms and computation theory - software Engineering (SE) emphasizes the practical application of Engineering principles to build and maintain large software systems, including software development lifecycle, testing and project management",FIT152 - Topic 1
Define Information System (IS) and list its main components.,"Information System (IS) is a collection of hardware, software, data, people and networks designed to collect, process, store and disseminate information for a specific purpose. - Hardware: PCs, servers, routers - Software: applications, operating systems - Data: raw facts and processed information - People: users and IT staff - Networks: communication links",FIT152 - Topic 1
List and briefly describe three common types of Information Systems (IS).,- Transaction Processing System (TPS): automates routine business transactions such as point-of-sale - management information System (MIS): provides reports and dashboards for decision making such as monthly sales summaries - decision Support System (DSS): offers analytical tools and models to Support complex decisions such as what-if scenario analysis,FIT152 - Topic 1
Define Cognitive Science and name three disciplines that inform it.,"Cognitive Science is the study of how the human brain perceives, learns and stores information. It draws on Psychology (mental processes), Neuroscience (brain function) and Linguistics (language processing).",FIT152 - Topic 1
What is Computer Engineering and what are typical specializations?,"Computer Engineering blends electrical engineering and computer science to design and implement computer hardware and low-level software. Typical specializations include embedded systems for dedicated devices, very-large-scale integration (VLSI) for designing integrated circuits and networking for designing local and wide area communication systems.",FIT152 - Topic 1
